"ï»¿""Key""",Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
ZFMRP23Z,book,2014,"Ã‡akmak, HÃ_seyin KemÃ¢l; Maa\s s, Heiko; Bach, Felix; KÃ_hnapfel, Uwe G.",A new framework for the analysis of large scale multi-rate power data,,,,,http://www.researchgate.net/profile/Hueseyin_Cakmak2/publication/264579714_A_New_Framework_for_the_Analysis_of_Large_Scale_Multi-Rate_Power_Data/links/53e8b9820cf25d674ea8552d.pdf,,2014,13/10/15 08:57,15/10/15 06:04,13/10/15 08:57,,,,,,,,,,,,Karlsruhe Institute of Technology,,,,,,,Google Scholar,,,"<div title=""Page 6""> <div> <div> <p>We propose a new framework for multi-rate, large scale data management and analysis, which is able to comprise raw voltage and current data handling at 25 kHz, feature data with a temporal resolution of one second and 10 minutes smart meter data altogether. The introduced high rate power grid data acquisition devices are securely coupled to a big data management system for long term data storage, which forms the data basis for the development of new analysis and simulation methods. The Hadoop based time series analysis is performed locally on the data storage cluster and enables the detection of significant events as voltage sags in large time series.</p> </div> </div> </div>",/Users/Clayton/Library/Application Support/Zotero/Profiles/urt936ih.default/zotero/storage/RPG3PSH8/Ã‡akmak et al. - 2014 - A new framework for the analysis of large scale mu.pdf,,ElectricalEngineering; MultipleTechniques; SmartMeter; Targeting; VisualAnalytics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T6APZH9M,journalArticle,2015,"Capozzoli, Alfonso; Lauro, Fiorella; Khan, Imran",Fault detection analysis using data mining techniques for a cluster of smart office buildings,Expert Systems with Applications,,0957-4174,10.1016/j.eswa.2015.01.010,http://www.sciencedirect.com/science/article/pii/S0957417415000251,"There is an increasing need for automated fault detection tools in buildings. The total energy request in buildings can be significantly reduced by detecting abnormal consumption effectively. Numerous models are used to tackle this problem but either they are very complex and mostly applicable to components level, or they cannot be adopted for different buildings and equipment. In this study a simplified approach to automatically detect anomalies in building energy consumption based on actual recorded data of active electrical power for lighting and total active electrical power of a cluster of eight buildings is presented. The proposed methodology uses statistical pattern recognition techniques and artificial neural ensembling networks coupled with outliers detection methods for fault detection. The results show the usefulness of this data analysis approach in automatic fault detection by reducing the number of false anomalies. The method allows to identify patterns of faults occurring in a cluster of bindings; in this way the energy consumption can be further optimized also through the building management staff by informing occupants of their energy usage and educating them to be proactive in their energy consumption. Finally, in the context of smart buildings, the common detected outliers in the cluster of buildings demonstrate that the management of a smart district can be operated with the whole buildings cluster approach.","June 1, 2015",01/10/15 09:34,01/10/15 09:34,01/10/15 09:34,4324-4338,,9,42,,Expert Systems with Applications,,,,,,,,,,,,,ScienceDirect,,,<p>In this study a simplified approach to automatically detect anomalies in building energy consumption based on actual recorded data of active electrical power for lighting and total active electrical power of a cluster of eight buildings is presented. The proposed methodology uses statistical pattern recognition techniques and artificial neu- ral ensembling networks coupled with outliers detection methods for fault detection.</p>,/Users/Clayton/Library/Application Support/Zotero/Profiles/urt936ih.default/zotero/storage/2XAUUT78/Capozzoli et al. - 2015 - Fault detection analysis using data mining techniq.pdf; /Users/Clayton/Library/Application Support/Zotero/Profiles/urt936ih.default/zotero/storage/HKT9FUSH/S0957417415000251.html,,AnomalyDetection; BuildingEnergyAnalysis; MultipleTechniques; NoveltyDetection; WholeBuilding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FGJB6NPU,conferencePaper,2014,"Chen, Bei; Sinn, Mathieu; Ploennigs, Joern; Schumann, Anika",Statistical Anomaly Detection in Mean and Variation of Energy Consumption,Proceedings of the 22nd International Conference on Pattern Recognition (ICPR),978-1-4799-5209-0,,10.1109/ICPR.2014.614,http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6977326,,"August 24, 2014",18/09/15 08:04,07/10/15 09:30,,3570-3575,,,,,,,,,,,IEEE,"Stockholm, Sweden",,,,,,,,,"<p>Statistical Anomaly Detection in Mean and Variation of Energy Consumption</p> <div title=""Page 1""> <div> <div> <p>The criterion behind is based on the prediction intervals (PIs) of the baseline, which is estimated by the Generalized Additive Model (GAM), and of the variations of baseline, which is estimated by the Autoregressive Conditional Heteroscedastic Model (ARCH).</p> </div> </div> </div>",/Users/Clayton/Library/Application Support/Zotero/Profiles/urt936ih.default/zotero/storage/ID45FQ4R/CBBAF3C6-8AEE-44EC-AED0-DEBDD5420C49.pdf,,AnomalyDetection; ElectricalEngineering; GeneralizedAdditiveModels; NoveltyDetection; WholeBuilding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International Conference on Pattern Recognition (ICPR),,,,,,,,,,,,,,,
4H4QAMGA,journalArticle,2009,"Chicco, Gianfranco; Ilie, I S",Support vector clustering of electrical load pattern data,IEEE Transactions on Power Systems,,,,http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=5072232,,"January 1, 2009",18/09/15 08:04,21/09/15 03:50,,1619-1628,,3,24,,IEEE Trans. Power Syst.,,,,,,,,,,,,,,,,<p>This paper presents an original and effective applica- tion of support vector clustering (SVC) to electrical load pattern classification.</p>,/Users/Clayton/Library/Application Support/Zotero/Profiles/urt936ih.default/zotero/storage/CRHNCNDJ/IEEE Trans. Power Syst. 2009 Chicco.pdf; /Users/Clayton/Library/Application Support/Zotero/Profiles/urt936ih.default/zotero/storage/WK57JG2E/login.html,,Clustering; ElectricalEngineering; LoadProfiling; SmartMeter; SupportVectorMachines; Unsupervised,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRC7DFDZ,journalArticle,2013,"Chicco, Gianfranco; Ionel, O-M; Porumb, Radu",Electrical Load Pattern Grouping Based on Centroid Model With Ant Colony Clustering,IEEE Transactions on Power Systems,,,,http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=6331025,,"January 1, 2013",18/09/15 08:04,18/09/15 08:04,,1706-1715,,2,28,,IEEE Trans. Power Syst.,,,,,,,,,,,,,,,,"<p>The original Electrical Pattern Ant Colony Clustering (EPACC) algorithm is illustrated, highlighting its characteristics and parameters, with centroids evolution during the iterative process until stabilization.</p>",/Users/Clayton/Library/Application Support/Zotero/Profiles/urt936ih.default/zotero/storage/69UWRG94/IEEE Trans. Power Syst. 2013 Chicco.pdf,,AntColony; Clustering; ElectricalEngineering; LoadProfiling; SmartMeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J8RGSA93,journalArticle,2012,"Chicco, Gianfranco",Overview and performance assessment of the clustering methods for electrical load pattern grouping,Energy,,,10.1016/j.energy.2011.12.031,http://dx.doi.org/10.1016/j.energy.2011.12.031,"Energy, 42 (2012) 68-80. doi:10.1016/j.energy.2011.12.031","May 31, 2012",18/09/15 08:04,18/09/15 08:04,,68-80,,1,42,,Energy,,,,,,,,,,,,,,,,"<p>Overview and performance assessment of the clustering methods for electrical load pattern grouping</p> <div title=""Page 1""> <div> <div> <p>This paper provides an overview of the clustering techniques used to establish suitable customer grouping, included in a general scheme for analysing electrical load pattern data.</p> </div> </div> </div>",/Users/Clayton/Library/Application Support/Zotero/Profiles/urt936ih.default/zotero/storage/S2KCD3HI/Energy 2012 Chicco.pdf,,ElectricalEngineering; LoadProfiling; Review; SmartMeter; Unsupervised,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C5FWXV8S,journalArticle,2014,"Chou, Jui-Sheng; Telaga, Abdi Suryadinata",Real-time detection of anomalous power consumption,Renewable and Sustainable Energy Reviews,,,10.1016/j.rser.2014.01.088,http://dx.doi.org/10.1016/j.rser.2014.01.088,"Renewable and Sustainable Energy Reviews, 33 + (2014) 400-411. doi:10.1016/j.rser.2014.01.088","May 1, 2014",18/09/15 08:04,18/09/15 08:04,,400-411,,C,33,,Renewable and Sustainable Energy Reviews,,,,,,,,,,,,,,,,"<p>Real-time detection of anomalous power consumption</p> <div title=""Page 1""> <div> <div> <p>The experimental results for a 17-week study of electricity consumption in a building office space confirm that the method can detect anomalous values in real time.</p> </div> </div> </div>",/Users/Clayton/Library/Application Support/Zotero/Profiles/urt936ih.default/zotero/storage/QIP5UCPP/Renewable and Sustainable Energy Reviews 2014 Chou.pdf,,AnomalyDetection; BuildingEnergyAnalysis; Clustering; K-Means; Unsupervised; WholeBuilding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EX6GFAAK,journalArticle,2011,"De Silva, Daswin; Yu, Xinghuo; Alahakoon, Damminda; Holmes, Grahame",A Data Mining Framework for Electricity Consumption Analysis From Meter Data,IEEE Transactions on Industrial Informatics,,,10.1109/TII.2011.2158844,http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=5893960,,"August 3, 2011",18/09/15 08:04,22/09/15 06:38,,399-407,,3,7,,IEEE Trans. Ind. Inf.,,,,,,,,,,,,,,,,"<div title=""Page 1""> <div> <div> <p>This paper presents a novel data mining framework for the exploration and extraction of actionable knowledge from data generated by electricity meters.</p> </div> </div> </div>",/Users/Clayton/Library/Application Support/Zotero/Profiles/urt936ih.default/zotero/storage/PJDQ5PD5/IEEE Trans. Ind. Inf. 2011 De Silva.pdf,,DataMining; ElectricalEngineering; IncrementalSummarizationandPatternChar; LoadProfiling; MotifandDiscordDetection; SmartMeter; Unsupervised,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NWN7WJXG,conferencePaper,2015,"Diong, B.; Zheng, G.; Ginn, M.",Establishing the foundation for energy management on university campuses via data analytics,Proceedings of the IEEE SoutheastCon 2015,,,10.1109/SECON.2015.7132996,,"Campus energy management increasingly demands a controlled and managed process for achieving the aims of cost control and operation effectiveness. A mature decision making process is driven by data gathering, analysis and reporting, as advocated by business intelligence (BI), which already has had broad impact on enterprises. The BI process has been widely adopted by universities in a number of areas already, including student services (enrollment) but less so in supporting areas like energy management. This paper describes an initial effort to apply BI practices to manage energy (starting with electric power) consumption on campuses, beginning with a needs assessment to develop an effective energy usage data gathering (in real-time), modeling, analysis and reporting process on our own campus. We provide details on how the situation was at the beginning of our four-month project, and on the improvements we were able to make to the campus' energy management process.",Apr-15,13/10/15 09:26,15/10/15 06:03,,01-Jul,,,,,,,,,,,,"Fort Lauderdale, FL, USA",,,,,,IEEE Xplore,,,"<p>This paper describes an initial effort to apply BI practices to manage energy (starting with electric power) consumption on campuses, beginning with a needs assessment to develop an effective energy usage data gathering (in real-time), modeling, analysis and reporting process on our own campus. We provide details on how the situation was at the beginning of our four-month project, and on the improvements we were able to make to the campusâ€™ energy management process.</p>",/Users/Clayton/Library/Application Support/Zotero/Profiles/urt936ih.default/zotero/storage/4SEHP9FM/07132996.pdf; /Users/Clayton/Library/Application Support/Zotero/Profiles/urt936ih.default/zotero/storage/W53EP5X4/abs_all.html; /Users/Clayton/Library/Application Support/Zotero/Profiles/urt936ih.default/zotero/storage/AFTJQEHP/abs_all.html,,ElectricalEngineering; EnergyInformationSystem; EnergyManagment; PortfolioAnalysis; VisualAnalytics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IEEE SoutheastCon,,,,,,,,,,,,,,,
AKDXQJAR,journalArticle,2015,"Dâ€™Oca, Simona; Hong, Tianzhen",Occupancy schedules learning process through a data mining framework,Energy and Buildings,,0378-7788,10.1016/j.enbuild.2014.11.065,http://www.sciencedirect.com/science/article/pii/S0378778814010329,"Building occupancy is a paramount factor in building energy simulations. Specifically, lighting, plug loads, HVAC equipment utilization, fresh air requirements and internal heat gain or loss greatly depends on the level of occupancy within a building. Developing the appropriate methodologies to describe and reproduce the intricate network responsible for human-building interactions are needed. Extrapolation of patterns from big data streams is a powerful analysis technique which will allow for a better understanding of energy usage in buildings. A three-step data mining framework is applied to discover occupancy patterns in office spaces. First, a data set of 16 offices with 10 min interval occupancy data, over a two year period is mined through a decision tree model which predicts the occupancy presence. Then a rule induction algorithm is used to learn a pruned set of rules on the results from the decision tree model. Finally, a cluster analysis is employed in order to obtain consistent patterns of occupancy schedules. The identified occupancy rules and schedules are representative as four archetypal working profiles that can be used as input to current building energy modeling programs, such as EnergyPlus or IDA-ICE, to investigate impact of occupant presence on design, operation and energy use in office buildings.","February 1, 2015",13/10/15 08:29,13/10/15 08:29,13/10/15 08:29,395-408,,,88,,Energy and Buildings,,,,,,,,,,,,,ScienceDirect,,,"<div title=""Page 1""> <div> <div> <p>A three-step data mining framework is applied to discover occupancy patterns in office spaces. First, a data set of 16 offices with 10 min interval occupancy data, over a two year period is mined through a decision tree model which predicts the occupancy presence. Then a rule induction algorithm is used to learn a pruned set of rules on the results from the decision tree model. Finally, a cluster analysis is employed in order to obtain consistent patterns of occupancy schedules.</p> </div> </div> </div>",/Users/Clayton/Library/Application Support/Zotero/Profiles/urt936ih.default/zotero/storage/67CCHG4G/Dâ€™Oca and Hong - 2015 - Occupancy schedules learning process through a dat.pdf; /Users/Clayton/Library/Application Support/Zotero/Profiles/urt936ih.default/zotero/storage/IIC9KM2R/S0378778814010329.html,,BuildingEnergyAnalysis; MultipleTechniques; OccupancyDetection; Operations; RuleExtraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8HGER8NR,journalArticle,2014,"Domahidi, Alexander; Ullmann, Fabian; Morari, Manfred; Jones, Colin N.",Learning decision rules for energy efficient building control,Journal of Process Control,,0959-1524,10.1016/j.jprocont.2014.01.006,http://www.sciencedirect.com/science/article/pii/S0959152414000304,"While rule based control (RBC) is current practice in most building automation systems that issue discrete control signals, recent simulation studies suggest that advanced, optimization based control methods such as hybrid model predictive control (HMPC) can potentially outperform RBC in terms of energy efficiency and occupancy comfort. However, HMPC requires a more complex IT infrastructure and numerical optimization in the loop, which makes commissioning, operation of the building, and error handling significantly more involved than in the rule based setting. In this paper, we suggest an automated RBC synthesis procedure for binary decisions that extracts prevalent information from simulation data with HMPC controllers. The result is a set of simple decision rules that preserves much of the control performance of HMPC. The methods are based on standard machine learning algorithms, in particular support vector machines (SVMs) and adaptive boosting (AdaBoost). We consider also the ranking and selection of measurements which are used for a decision and show that this feature selection is useful in both complexity reduction and reduction of investment costs by pruning unnecessary sensors. The suggested methods are evaluated in simulation for six different case studies and shown to maintain the performance of HMPC despite a tremendous reduction in complexity.",Jun-14,13/10/15 09:05,13/10/15 09:05,13/10/15 09:05,763-772,,6,24,,Journal of Process Control,,Energy Efficient Buildings Special Issue,,,,,,,,,,,ScienceDirect,,,"<div title=""Page 1""> <div> <div> <p>The result is a set of simple decision rules that preserves much of the control perfor- mance of HMPC. The methods are based on standard machine learning algorithms, in particular support vector machines (SVMs) and adaptive boosting (AdaBoost). We consider also the ranking and selection of measurements which are used for a decision and show that this feature selection is useful in both complexity reduction and reduction of investment costs by pruning unnecessary sensors. The suggested methods are evaluated in simulation for six different case studies and shown to maintain the performance of HMPC despite a tremendous reduction in complexity.</p> </div> </div> </div>",/Users/Clayton/Library/Application Support/Zotero/Profiles/urt936ih.default/zotero/storage/VP4D26SB/Domahidi et al. - 2014 - Learning decision rules for energy efficient build.pdf; /Users/Clayton/Library/Application Support/Zotero/Profiles/urt936ih.default/zotero/storage/W96XUIK7/S0959152414000304.html,,Controls; DataAssociationRules; ElectricalEngineering; Operations; RuleExtraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UDMAUQMP,journalArticle,2011,"Dong, Bing; Lam, Khee Poh",Building energy and comfort management through occupant behaviour pattern detection based on a large-scale environmental sensor network,Journal of Building Performance Simulation,,,10.1080/19401493.2011.577810,http://www.tandfonline.com/doi/abs/10.1080/19401493.2011.577810,,"December 1, 2011",18/09/15 08:04,18/09/15 08:21,,359-369,,4,4,,Journal of Building Performance Simulation,,,,,,,,,,,,,,,,<p>The results indicate that there are significant correlations between measured environmental conditions and occupancy status. It is shown that an average of 83% accuracy on the occupancy number detection was achieved by Gaussian Mixture Model based Hidden Markov Models during testing periods</p>,/Users/Clayton/Library/Application Support/Zotero/Profiles/urt936ih.default/zotero/storage/6THQKWIJ/5C3716EF-041F-4752-9CC0-BD2917FD85B6.pdf; /Users/Clayton/Library/Application Support/Zotero/Profiles/urt936ih.default/zotero/storage/WHBABEBM/Journal of Building Performance Simulation 2011 Dong.pdf,,BuildingSimulation; MarkovModel; MotifandDiscordDetection; OccupancyDetection; Operations; Unsupervised,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V26HKMRZ,journalArticle,2010,"Dounis, Anastasios I",Artificial intelligence for energy conservation in buildings,Advances in Building Energy Research,,,10.3763/aber.2009.0408,http://www.tandfonline.com/doi/abs/10.3763/aber.2009.0408,,"January 1, 2010",18/09/15 08:04,18/09/15 08:04,,267-299,,1,4,,Advances in Building Energy Research,,,,,,,,,,,,,,,,"<div title=""Page 3""> <div> <div> <div> <p>This chapter briefly presents expert systems and CI techniques and outlines how they operate. The major objective of this chapter is to illustrate how IAs and MASs may play an important role in conserving energy in buildings.</p> </div> </div> </div> </div>",/Users/Clayton/Library/Application Support/Zotero/Profiles/urt936ih.default/zotero/storage/WMRP8H4P/Advances in Building Energy Research 2010 Dounis.pdf,,ComputerScience; MultipleTechniques; Operations; Review; Unsupervised,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USE5VGKB,conferencePaper,2011,"Duarte, Carlos; Acker, Brad; Grosshans, Ray; Manic, Milos; Van Den Wymelenberg, Kevin; Rieger, Craig",Prioritizing and Visualizing Energy Management and Control System Data to Provide Actionable Information For Building Operators,Proceedings from 2011 Western Energy Policy Research Conference,,,,http://mhrg.if.uidaho.edu/papers/2011/WEPC11_DuarteAckerKevin_EMSDataVisualisation.pdf,,"August 25, 2011",18/09/15 08:04,07/10/15 09:20,,,,,,,,,,,,,,"Boise, Idaho, USA",,,,,,,,,"<p>This paper reviews how EnMS control HVAC and lighting systems to both conserve energy while maintaining human comfort and productivity. It then reviews the challenges facing building operators and other building stakeholders as they strive to balance the conserve v. comfort equation. Finally, this paper will propose methods by which building owners and stakeholders can realize the full potential of EnMS using advanced artificial intelligence and improved information visualization techniques.</p>",/Users/Clayton/Library/Application Support/Zotero/Profiles/urt936ih.default/zotero/storage/6HKFVMVR/Proceedings from 2011 Western Energy Policy Research Conference 2011 Duarte.pdf,,BuildingEnergyAnalysis; EnergyInformationSystem; EnergyManagment; Operations; VisualAnalytics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Western Energy Policy Research Conference,,,,,,,,,,,,,,,
MU2A86AJ,conferencePaper,2015,"Fagiani, Marco; Squartini, Stefano; Severini, Marco; Piazza, Francesco",A novelty detection approach to identify the occurrence of leakage in smart gas and water grids,Proceedings of the 2015 International Joint Conference on Neural Networks (IJCNN),,,10.1109/IJCNN.2015.7280473,,"In this paper, a novelty detection algorithm for the identification of leakages in smart water/gas grid contexts is proposed. It is based on two separate stages: the first deals with the creation of the statistical leakage-free model, whereas the second evaluates the eventual occurrence of leakage on the basis of the model likelihood. Up to the authors' knowledge, this approach has never been used in the application scenario of interest. A set of several features are extracted from the Almanac of Minutely Power Dataset, and a suboptimal selection is executed to determinate the best combination. The abnormal event (leakage) is induced by manipulating the consumption in the test set. A total of 10 background models are created, by employing both Gaussian Mixture Models (GMMs) and Hidden Markov Models (HMMs) under a comparative perspective, and each of them is adopted to detect 10 leakages, with random duration, length and starting time. Finally, the performance are evaluated in terms of Area Under Curve (AUC) of the Receiver Operating Characteristic (ROC). Obtained results are more than encouraging: the best average AUCs of 85.60% and 87.97% are achieved with HMM, at 1 minute resolution, for natural gas and water, respectively. Specifically, considering true detection rates (TDRs) of 100%, the natural gas exhibits an overall false detection rate (FDR) of 17.11%, and the water achieves an overall FDR of 13.79%.",Jul-15,13/10/15 08:50,15/10/15 05:54,,01-Aug,,,,,,,,,,,,"Killarney, Ireland",,,,,,IEEE Xplore,,,"<div title=""Page 1""> <div> <div> <p>In this paper, a novelty detection algorithm for the identification of leakages in smart water/gas grid contexts is proposed. It is based on two separate stages: the first deals with the creation of the statistical leakage-free model, whereas the second evaluates the eventual occurrence of leakage on the basis of the model likelihood. Up to the authors' knowledge, this approach has never been used in the application scenario of interest. A set of several features are extracted from the Almanac of Minutely Power Oataset, and a suboptimal selection is executed to determinate the best combination. The abnormal event (leakage) is induced by manipulating the consumption in the test set.</p> </div> </div> </div>",/Users/Clayton/Library/Application Support/Zotero/Profiles/urt936ih.default/zotero/storage/BT7XD2XA/abs_all.html; /Users/Clayton/Library/Application Support/Zotero/Profiles/urt936ih.default/zotero/storage/8D4NCWF6/Fagiani et al. - 2015 - A novelty detection approach to identify the occur.pdf,,ComputerScience; MarkovModel; NoveltyDetection; SmartMeter; Targeting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,International Joint Conference on Neural Networks (IJCNN),,,,,,,,,,,,,,,
Q8FE7VGP,journalArticle,2015,"Fan, Cheng; Xiao, Fu; Madsen, Henrik; Wang, Dan",Temporal Knowledge Discovery in Big BAS Data for Building Energy Management,Energy and Buildings,,0378-7788,10.1016/j.enbuild.2015.09.060,http://www.sciencedirect.com/science/article/pii/S0378778815302991,"With the advances of information technologies, today's Building Automation Systems (BASs) are capable of managing building operational performance in an efficient and convenient way. Meanwhile, the amount of real-time monitoring and control data in BASs grows continually in the building lifecycle, which stimulates an intense demand for powerful big data analysis tools in BASs. Existing big data analytics adopted in the building automation industry focus on mining cross-sectional relationships, whereas the temporal relationships, i.e., the relationships over time, are usually overlooked. However, building operations are typically dynamic and BAS data are essentially multivariate time series data. This paper presents a time series data mining methodology for temporal knowledge discovery in big BAS data. A number of time series data mining techniques are explored and carefully assembled, including the Symbolic Aggregate approXimation (SAX), motif discovery, and temporal association rule mining. This study also develops two methods for the efficient post-processing of knowledge discovered. The methodology has been applied to analyze the BAS data retrieved from a real building. The temporal knowledge discovered is valuable to identify dynamics, patterns and anomalies in building operations, derive temporal association rules within and between subsystems, assess building system performance and spot opportunities in energy conservation.",2015,01/10/15 09:24,06/10/15 01:38,01/10/15 09:24,,,,,,Energy and Buildings,,,,,,,,,,,,,ScienceDirect,,,"<p>However, building operations are typically dynamic and BAS data are essentially multivariate time series data. This paper presents a time series data mining methodology for temporal knowledge discovery in big BAS data.</p>",/Users/Clayton/Library/Application Support/Zotero/Profiles/urt936ih.default/zotero/storage/E4VBC6GZ/Fan et al. - Temporal Knowledge Discovery in Big BAS Data for B.pdf; /Users/Clayton/Library/Application Support/Zotero/Profiles/urt936ih.default/zotero/storage/58PWZN35/S0378778815302991.html,,BuildingEnergyAnalysis; DataAssociationRules; EnergyManagment; Operations; RuleExtraction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KM3W73RH,conferencePaper,2013,"Fan, Cheng; Xiao, Fu; Shengwei, Wang",Prediction of Chiller Power Consumption Using Time Series Analysis and Artificial Neural Networks,"Proceedings of the 8th International Conference on Indoor Air Quality, Ventilation and Energy Conservation in Buildings (CLIMA 2013)",,,,,,"January 1, 2013",18/09/15 08:04,07/10/15 09:30,,,,,,,,,,,,,,"Prague, Czech Republic",,,,,,,,,"<p>Clustering analysis is employed to preprocess the chiller power data prior to the building of time series models, resulting in four typical 2-day clusters from one-month of chiller power consumption data.</p>",/Users/Clayton/Library/Application Support/Zotero/Profiles/urt936ih.default/zotero/storage/QPKDJ7CV/Proceedings of the 8th International Conference on Indoor Air Quality Ventilation and Energy Conservation in Buildings (CLIMA 2013) 2013 Fan.pdf,,BuildingEnergyAnalysis; Clustering; Controls; K-Means; Operations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"International Conference on Indoor Air Quality, Ventilation and Energy Conservation in Buildings (CLIMA)",,,,,,,,,,,,,,,
BGRSNNAC,journalArticle,2015,"Fan, Cheng; Xiao, Fu; Yan, Chengchu",A framework for knowledge discovery in massive building automation data and its application in building diagnostics,Automation in Construction,,0926-5805,10.1016/j.autcon.2014.12.006,http://www.sciencedirect.com/science/article/pii/S0926580514002507,"Building Automation System (BAS) plays an important role in building operation nowadays. A huge amount of building operational data is stored in BAS; however, the data can seldom be effectively utilized due to the lack of powerful tools for analyzing the large data. Data mining (DM) is a promising technology for discovering knowledge hidden in large data. This paper presents a generic framework for knowledge discovery in massive BAS data using DM techniques. The framework is specifically designed considering the low quality and complexity of BAS data, the diversity of advanced DM techniques, as well as the integration of knowledge discovered by DM techniques and domain knowledge in the building field. The framework mainly consists of four phases, i.e., data exploration, data partitioning, knowledge discovery, and post-mining. The framework is applied to analyze the BAS data of the tallest building in Hong Kong. The analysis of variance (ANOVA) method is adopted to identify the most significant time variables to the aggregated power consumption. Then the clustering analysis is used to identify the typical operation patterns in terms of power consumption. Eight operation patterns have been identified and therefore the entire BAS data are partitioned into eight subsets. The quantitative association rule mining (QARM) method is adopted for knowledge discovery in each subset considering most of BAS data are numeric type. To enhance the efficiency of the post-mining phase, two indices are proposed for fast and conveniently identifying and utilizing potentially interesting rules discovered by QARM. The knowledge discovered is successfully used for understanding the building operating behaviors, identifying non-typical operating conditions and detecting faulty conditions.",Feb-15,01/10/15 09:27,01/10/15 09:27,01/10/15 09:27,81-90,,,50,,Automation in Construction,,,,,,,,,,,,,ScienceDirect,,,"<div title=""Page 1""> <div> <div> <p>This paper presents a generic framework for knowledge discovery in massive BAS data using DM techniques. The framework is specifically designed considering the low quality and complexity of BAS data, the diversity of advanced DM techniques, as well as the integration of knowledge discovered by DM tech- niques and domain knowledge in the building field. The framework mainly consists of four phases, i.e., data ex- ploration, data partitioning, knowledge discovery, and post-mining. The framework is applied to analyze the BAS data of the tallest building in Hong Kong.</p> </div> </div> </div>",/Users/Clayton/Library/Application Support/Zotero/Profiles/urt936ih.default/zotero/storage/QAMFCPIJ/Fan et al. - 2015 - A framework for knowledge discovery in massive bui.pdf; /Users/Clayton/Library/Application Support/Zotero/Profiles/urt936ih.default/zotero/storage/NHQQFUBF/S0926580514002507.html,,AnomalyDetection; BuildingEnergyAnalysis; DataAssociationRules; NoveltyDetection; WholeBuilding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
