"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"BCBAUIFK","webpage","2016","","FACT SHEET: Cities, Utilities, and Businesses Commit to Unlocking Access to Energy Data for Building Owners and Improving Energy Efficiency","whitehouse.gov","","","","https://www.whitehouse.gov/the-press-office/2016/01/29/fact-sheet-cities-utilities-and-businesses-commit-unlocking-access","Local Government, private sector, and utility actions spur access to energy data and accelerate energy efficiency investment & innovation in buildings and homes","2016-01-29","2016-04-12 02:26:57","2016-04-12 02:26:57","2016-04-12 02:26:57","","","","","","","FACT SHEET","","","","","","","","","","","","","","","","/Users/Clayton/Library/Application Support/Zotero/Profiles/urt936ih.default/zotero/storage/U4JENSRZ/fact-sheet-cities-utilities-and-businesses-commit-unlocking-access.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IT8AXK4W","webpage","","","Green Button","","","","","http://www.greenbuttondata.org/","","","2016-04-27 02:52:39","2016-04-27 02:52:39","2016-04-27 02:52:39","","","","","","","","","","","","","","","","","","","","","","","/Users/Clayton/Library/Application Support/Zotero/Profiles/urt936ih.default/zotero/storage/VAVHNJGW/www.greenbuttondata.org.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GEGQGP8U","webpage","","","How many smart meters are installed in the United States, and who has them? - FAQ - U.S. Energy Information Administration (EIA)","","","","","http://www.eia.gov/tools/faqs/faq.cfm?id=108&t=3","","","2016-04-27 02:44:05","2016-04-27 02:44:05","2016-04-27 02:44:05","","","","","","","","","","","","","","","","","","","","","","","/Users/Clayton/Library/Application Support/Zotero/Profiles/urt936ih.default/zotero/storage/K3TM96H3/faq.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NR2GAKW3","journalArticle","2015","Adamopoulou, Anna A.; Tryferidis, Athanasios M.; Tzovaras, Dimitrios K.","A context-aware method for building occupancy prediction","Energy and Buildings","","0378-7788","10.1016/j.enbuild.2015.10.003","http://www.sciencedirect.com/science/article/pii/S0378778815303212","In this paper a building occupancy prediction method is presented, which is based on the spatio-temporal analysis of historical data (occupancy modelling) and further relies heavily on current contextual information, being therefore suitable for providing real-time prediction. Two different algorithmic approaches are proposed, based on Markov models, revealing how context awareness adds the capability of rapidly adjusting to current conditions and capturing unexpected events, as opposed to capturing only typical occupancy fluctuation expected on a regular basis. Both proposed approaches are evaluated against accurate real-life data collected from a tertiary building, achieving notable results which outperform currently used methods.","2015","2015-10-13 08:30:51","2015-11-04 10:47:36","2015-10-13 08:30:51","","","","","","Energy and Buildings","","","","","","","","","","","","","ScienceDirect","","","","/Users/Clayton/Library/Application Support/Zotero/Profiles/urt936ih.default/zotero/storage/QVMB8VPG/Adamopoulou et al. - A context-aware method for building occupancy pred.pdf; /Users/Clayton/Library/Application Support/Zotero/Profiles/urt936ih.default/zotero/storage/8PKD5GA5/S0378778815303212.html","","BuildingEnergyAnalysis; Done; MarkovModel; OccupancyDetection; Operations; RuleExtraction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"F36TB79K","conferencePaper","2009","Agarwal, Yuvraj; Weng, Thomas; Gupta, Rajesh K.","The energy dashboard: improving the visibility of energy consumption at a campus-wide scale","Proceedings of the First ACM Workshop on Embedded Sensing Systems for Energy-Efficiency in Buildings (BuildSys 2009)","978-1-60558-824-7","","10.1145/1810279.1810292","http://portal.acm.org/citation.cfm?doid=1810279.1810292","","2009-11-03","2015-09-22 08:12:22","2015-10-07 09:28:13","2015-09-22 08:12:22","55","","","","","","The energy dashboard","","","","","ACM Press","Berkeley, CA, USA","en","","","","","CrossRef","","","","/Users/Clayton/Library/Application Support/Zotero/Profiles/urt936ih.default/zotero/storage/A3JMB5T3/p55-agarwal.pdf","","Characterization; ComputerScience; Done; EnergyInformationSystem; PortfolioAnalysis; VisualAnalytics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACM Workshop on Embedded Sensing Systems for Energy-Efficiency in Buildings (BuildSys)","","","","","","","","","","","","","","",""
"K96TDHIB","journalArticle","2016","Ahn, Ki-Uhn; Park, Cheol-Soo","Correlation between occupants and energy consumption","Energy and Buildings","","0378-7788","10.1016/j.enbuild.2016.01.010","http://www.sciencedirect.com/science/article/pii/S037877881630010X","Although it is widely acknowledged that occupants play a critical role in building energy consumption, the characteristics of occupants are not well-represented in building simulation. Many statistic and data-mining technologies have been applied to develop a reliable occupant model. In contrast, rather than attempting to develop the occupant model, this study aims to investigate the correlation between the occupant behavior and energy consumption based on a series of experiments. First, this paper discusses the randomness of the occupants’ presence and behavior. The degree of randomness was verified using a Normalized Cumulative Periodogram (NCP) based on a random walk hypothesis. In addition, the correlation between occupant and energy consumption was investigated using the wavelet coherence. This study shows that, while the occupants’ presence has a randomness, it is not strongly correlated to the energy consumption. The occupants’ active action to control a heating/cooling system (turn on/off) is correlated to the energy consumption. In contrast to the occupant's presence, the occupants’ active action does not follow the random walk, and it has no particular frequency. This means that it is difficult to predict the control action of occupants with a specific time interval.","2016-03-15","2016-04-18 13:27:54","2016-04-18 13:27:54","2016-04-18 13:27:54","420-433","","","116","","Energy and Buildings","","","","","","","","","","","","","ScienceDirect","","","","/Users/Clayton/Library/Application Support/Zotero/Profiles/urt936ih.default/zotero/storage/2Z6ARN2S/Ahn and Park - 2016 - Correlation between occupants and energy consumpti.pdf; /Users/Clayton/Library/Application Support/Zotero/Profiles/urt936ih.default/zotero/storage/93P6U7JK/S037877881630010X.html","","BuildingEnergyAnalysis; Done; OccupancyDetection; Operations; RuleExtraction; Wavelets","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MNIX6F9N","conferencePaper","2012","An, Lianjun; Horesh, Raya; Chae, Young Tae; Lee, Young M","Estimation of Thermal Parameters of Buildings Through Inverse Modeling and Clustering for a Portfolio of Buildings","Proceedings of the Fifth National Conference of IBPSA-USA (SimBuild 2012)","","","","http://www.ibpsa.us/simbuild2012/Papers/SB12_TS05a_4_An.pdf","","2012-08-01","2015-09-18 08:04:16","2015-10-07 09:27:58","","","","","","","","","","","","","","Madison, WI, USA","","","","","","","","","","/Users/Clayton/Library/Application Support/Zotero/Profiles/urt936ih.default/zotero/storage/VQR39RDS/Proceedings of the Fifth National Conference of IBPSA-USA (SimBuild 2012) 2011 An.pdf","","BuildingSimulation; Characterization; Clustering; Done; K-Means; PortfolioAnalysis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","National Conference of IBPSA-USA (SimBuild)","","","","","","","","","","","","","","",""
"WFFIMRXF","journalArticle","2011","Augello, Agnese; Ortolani, Marco; Re, G Lo; Gaglio, Salvatore","Sensor mining for user behavior profiling in intelligent environments","Advances in Distributed Agent-Based Retrieval Tools","","3642213839","","http://link.springer.com/chapter/10.1007/978-3-642-21384-7_10","","2011-01-01","2015-09-18 08:04:16","2015-09-18 08:04:16","","143-158","","","","","","","","","","","","","","","","","","","","","","/Users/Clayton/Library/Application Support/Zotero/Profiles/urt936ih.default/zotero/storage/PBE92S8C/2011 Augello.pdf","","Clustering; ComputerScience; Done; MultipleTechniques; OccupancyDetection; Operations; Unsupervised","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P3BWEEBV","conferencePaper","2011","Bellala, Gowtham; Marwah, Manish; Arlitt, Martin; Lyon, Geoff; Bash, Cullen E","Towards an understanding of campus-scale power consumption","Proceedings of the Third ACM Workshop on Embedded Sensing Systems for Energy-Efficiency in Buildings (BuildSys 2011)","978-1-4503-0749-9","","10.1145/2434020.2434043","http://dl.acm.org/citation.cfm?doid=2434020.2434043","Commercial buildings are significant consumers of electricity. In this paper, we collect and analyze six weeks of data from 39 power meters in three buildings of a campus of a large company. We use an unsupervised anomaly detection technique based on","2011-11-01","2015-09-18 08:04:15","2015-10-07 09:27:17","","73","","","","","","","","","","","ACM  Request Permissions","Seattle, WA, USA","","","","","","","","","","/Users/Clayton/Library/Application Support/Zotero/Profiles/urt936ih.default/zotero/storage/8KCQQIBI/109EAA70-A519-4DDF-8FAC-7D263203DCCF.pdf","","ComputerScience; Done; MarkovModel; NoveltyDetection; PortfolioAnalysis; Targeting; Unsupervised","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ACM Workshop on Embedded Sensing Systems for Energy-Efficiency in Buildings (BuildSys)","","","","","","","","","","","","","","",""
"ZRHV3RG3","conferencePaper","2010","Bidoki, S M; Mahmoudi-Kohan, N; Sadreddini, M H; Zolghadri Jahromi, M; Moghaddam, M P","Evaluating different clustering techniques for electricity customer classification","Transmission and Distribution Conference and Exposition, 2010 IEEE PES","1-4244-6546-X","","","http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=5484234","","2010-04-19","2015-09-18 08:04:17","2015-10-07 09:29:47","","1-5","","","","","","","","","","","IEEE","New Orleans, LA, USA","","","","","","","","","","/Users/Clayton/Library/Application Support/Zotero/Profiles/urt936ih.default/zotero/storage/7UM2T687/Transmission and Distribution Conference and Exposition 2010 IEEE PES 2010 Bidoki.pdf","","Clustering; CustomerClassification; Done; ElectricalEngineering; MultipleTechniques; SmartMeter","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Transmission and Distribution Conference and Exposition","","","","","","","","","","","","","","",""
"GK4QWTI4","journalArticle","2013","Bogen, A C; Rashid, M; East, E W; Ross, J","Evaluating a data clustering approach for life-cycle facility control","Journal of Information Technology in Construction","","","","http://www.itcon.org/2013/6","SUMMARY: Data reported by sensors in building automation and control systems is critical for evaluating the as-operated performance of a facility . Typically these systems are designed to support specific control domains, but facility performance analysis requires ...","2013-04-01","2015-09-18 08:04:13","2016-04-19 03:37:12","","99-118","","","Vol. 18","","Journal of Information Technology in Construction","","","","","","","","","","","","","","","","","/Users/Clayton/Library/Application Support/Zotero/Profiles/urt936ih.default/zotero/storage/NECI63ZX/Journal of Information Technology in Construction 2013 Bogen.pdf","","BuildingEnergyAnalysis; Clustering; Controls; Done; MultipleTechniques; Operations; Unsupervised","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SKGSZE2V","thesis","2013","Borgeson, Sam","Targeted Efficiency: Using Customer Meter Data to Improve Efficiency Program Outcomes","","","","","https://www.dropbox.com/s/ppi9az3z97mxx3u/Borgeson_dissertation.pdf","Energy efficiency (EE) and demand response (DR) programs are designed to reduce energy consumption, mitigate grid capacity constraints, support intermittent renewable energy integration, and reduce pollution for less than the cost of additional generation. However, the savings and flexibility achieved by EE and DR programs are contingent on programs finding and enrolling customers well matched to program objectives. Many EE programs currently rely on broad but shallow savings from prescriptive measures, but growing in- terest in deeper and more reliable savings is leading to increased attention for program planning and targeting using empirical criteria. Through data gathered by smart meters and software designed to manage and analyze large data sets, the tools required to cost effectively characterize, target, and change patterns of energy demand are beginning to emerge. This dissertation consists of three chapters on the analysis of meter data and one on the policy implications of these new capabilities. Chapter 2 analyzes hourly electricity and daily natural gas smart meter readings from 30,000 residential customers of Pacific Gas and Electric (PG&E). Meter data is used to derive distributions of previously unobserved characteristics of the housing stock. We show that the targeting of EE and DR programs would be improved through selection of households based on their positions within these distributions. It follows that every utility (or public utility commission) with sufficient metering infrastructure could ap- ply similar techniques to improve the targeting, implementation, and evaluation of their energy efficiency and demand response programs. Chapter 3 uses regression models of patterns in daily household electricity consumption to estimate the physical and operational characteristics of homes. We apply semi-physical regressors designed to capture patterns in the space-heating and cooling, scheduling, and occupancy of homes. When applied to data from approximately 160,000 PG&E customers, this approach supports an evaluation of competing regression model formulations and provides distributions of model coefficients used to evaluate patterns of domestic energy use, including annual and system peak coincident air conditioning loads, cooling set points, day of week scheduling, and lighting energy.","2013","2015-10-07 11:12:25","2015-10-07 11:14:00","","","206","","","","","","","","","","University of California, Berkeley","Berkeley, CA, USA","","","PhD","","","","","","","/Users/Clayton/Library/Application Support/Zotero/Profiles/urt936ih.default/zotero/storage/QGUW8RBE/Borgeson_dissertation.pdf","","BuildingEnergyAnalysis; Clustering; CustomerClassification; Done; MultipleTechniques; SmartMeter","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8WPRJIBU","journalArticle","2013","Cabrera, David F Motta; Zareipour, Hamidreza","Data association mining for identifying lighting energy waste patterns in educational institutes","Energy and Buildings","","","10.1016/j.enbuild.2013.02.049","http://dx.doi.org/10.1016/j.enbuild.2013.02.049","Energy & Buildings, 62 (2013) 210-216. doi:10.1016/j.enbuild.2013.02.049","2013-07-01","2015-09-18 08:04:13","2015-10-01 09:30:37","","210-216","","","62","","Energy and Buildings","","","","","","","","","","","","","","","","","/Users/Clayton/Library/Application Support/Zotero/Profiles/urt936ih.default/zotero/storage/QM3ZA4PI/Energy and Buildings 2013 Cabrera.pdf; /Users/Clayton/Library/Application Support/Zotero/Profiles/urt936ih.default/zotero/storage/RG3DACD3/Motta Cabrera and Zareipour - 2013 - Data association mining for identifying lighting e.pdf; /Users/Clayton/Library/Application Support/Zotero/Profiles/urt936ih.default/zotero/storage/PJ266M4G/S0378778813001436.html","","BuildingEnergyAnalysis; DataAssociationRules; Done; PortfolioAnalysis; RuleExtraction; Targeting","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZFMRP23Z","book","2014","Çakmak, Hüseyin Kemâl; Maa\s s, Heiko; Bach, Felix; Kühnapfel, Uwe G.","A new framework for the analysis of large scale multi-rate power data","","","","","http://www.researchgate.net/profile/Hueseyin_Cakmak2/publication/264579714_A_New_Framework_for_the_Analysis_of_Large_Scale_Multi-Rate_Power_Data/links/53e8b9820cf25d674ea8552d.pdf","","2014","2015-10-13 08:57:57","2015-10-15 06:04:33","2015-10-13 08:57:57","","","","","","","","","","","","Karlsruhe Institute of Technology","","","","","","","Google Scholar","","","","/Users/Clayton/Library/Application Support/Zotero/Profiles/urt936ih.default/zotero/storage/RPG3PSH8/Çakmak et al. - 2014 - A new framework for the analysis of large scale mu.pdf","","CustomerClassification; Done; ElectricalEngineering; MultipleTechniques; SmartMeter; VisualAnalytics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"T6APZH9M","journalArticle","2015","Capozzoli, Alfonso; Lauro, Fiorella; Khan, Imran","Fault detection analysis using data mining techniques for a cluster of smart office buildings","Expert Systems with Applications","","0957-4174","10.1016/j.eswa.2015.01.010","http://www.sciencedirect.com/science/article/pii/S0957417415000251","There is an increasing need for automated fault detection tools in buildings. The total energy request in buildings can be significantly reduced by detecting abnormal consumption effectively. Numerous models are used to tackle this problem but either they are very complex and mostly applicable to components level, or they cannot be adopted for different buildings and equipment. In this study a simplified approach to automatically detect anomalies in building energy consumption based on actual recorded data of active electrical power for lighting and total active electrical power of a cluster of eight buildings is presented. The proposed methodology uses statistical pattern recognition techniques and artificial neural ensembling networks coupled with outliers detection methods for fault detection. The results show the usefulness of this data analysis approach in automatic fault detection by reducing the number of false anomalies. The method allows to identify patterns of faults occurring in a cluster of bindings; in this way the energy consumption can be further optimized also through the building management staff by informing occupants of their energy usage and educating them to be proactive in their energy consumption. Finally, in the context of smart buildings, the common detected outliers in the cluster of buildings demonstrate that the management of a smart district can be operated with the whole buildings cluster approach.","2015-06-01","2015-10-01 09:34:02","2015-10-01 09:34:02","2015-10-01 09:34:02","4324-4338","","9","42","","Expert Systems with Applications","","","","","","","","","","","","","ScienceDirect","","","","/Users/Clayton/Library/Application Support/Zotero/Profiles/urt936ih.default/zotero/storage/2XAUUT78/Capozzoli et al. - 2015 - Fault detection analysis using data mining techniq.pdf; /Users/Clayton/Library/Application Support/Zotero/Profiles/urt936ih.default/zotero/storage/HKT9FUSH/S0957417415000251.html","","AnomalyDetection; BuildingEnergyAnalysis; Done; MultipleTechniques; NoveltyDetection; WholeBuilding","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FGJB6NPU","conferencePaper","2014","Chen, Bei; Sinn, Mathieu; Ploennigs, Joern; Schumann, Anika","Statistical Anomaly Detection in Mean and Variation of Energy Consumption","Proceedings of the 22nd International Conference on Pattern Recognition (ICPR)","978-1-4799-5209-0","","10.1109/ICPR.2014.614","http://ieeexplore.ieee.org/lpdocs/epic03/wrapper.htm?arnumber=6977326","","2014-08-24","2015-09-18 08:04:13","2015-10-07 09:30:06","","3570-3575","","","","","","","","","","","IEEE","Stockholm, Sweden","","","","","","","","","","/Users/Clayton/Library/Application Support/Zotero/Profiles/urt936ih.default/zotero/storage/ID45FQ4R/CBBAF3C6-8AEE-44EC-AED0-DEBDD5420C49.pdf","","AnomalyDetection; Done; ElectricalEngineering; GeneralizedAdditiveModels; NoveltyDetection; WholeBuilding","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","International Conference on Pattern Recognition (ICPR)","","","","","","","","","","","","","","",""
